serial_number,drone_type,detection_time,rf_time,time_diff,bandwidth,id_number,rssi,distance
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:50.322,8.322,10MHz,195,-21.64,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:50.608,8.608,10MHz,195,-14.85,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:50.899,8.899000000000001,10MHz,195,-20.66,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:35.076,-9.924,10MHz,195,-20.96,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:35.155,-9.845,10MHz,195,-21.8,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:40.922,-4.078,10MHz,195,-20.98,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:42.562,-2.4379999999999997,10MHz,195,-20.91,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:45.417,0.417,10MHz,195,-20.41,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:48.705,3.705,10MHz,195,-21.09,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:48.906,3.906,10MHz,195,-18.49,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:50.322,5.322,10MHz,195,-21.64,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:50.608,5.608,10MHz,195,-14.85,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:50.899,5.899,10MHz,195,-20.66,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:53.441,8.441,10MHz,195,-17.2,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:53.721,8.721,10MHz,195,-15.0,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:54.275,9.275,10MHz,195,-20.87,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:45,2024-07-07 20:23:54.543,9.543,10MHz,195,-15.07,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:40.922,-5.078,10MHz,195,-20.98,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:42.562,-3.4379999999999997,10MHz,195,-20.91,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:45.417,-0.583,10MHz,195,-20.41,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:48.705,2.705,10MHz,195,-21.09,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:48.906,2.906,10MHz,195,-18.49,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:50.322,4.322,10MHz,195,-21.64,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:50.608,4.608,10MHz,195,-14.85,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:50.899,4.899,10MHz,195,-20.66,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:53.441,7.441,10MHz,195,-17.2,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:53.721,7.721,10MHz,195,-15.0,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:54.275,8.275,10MHz,195,-20.87,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:46,2024-07-07 20:23:54.543,8.543,10MHz,195,-15.07,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:06.134,-9.866,10MHz,195,-17.97,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:06.383,-9.617,10MHz,195,-20.48,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:06.465,-9.535,10MHz,195,-21.41,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:06.652,-9.348,10MHz,195,-18.25,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:07.074,-8.926,10MHz,195,-21.54,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:07.177,-8.823,10MHz,195,-18.08,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:07.850,-8.15,10MHz,195,-20.9,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:08.739,-7.261,10MHz,195,-18.14,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:09.394,-6.606,10MHz,195,-20.61,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:11.553,-4.447,10MHz,195,-18.24,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:11.778,-4.2219999999999995,10MHz,195,-20.58,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:11.825,-4.175,10MHz,195,-21.65,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:11.966,-4.034,10MHz,195,-17.77,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:11.966,-4.034,10MHz,195,-17.8,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:12.599,-3.401,10MHz,195,-20.1,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:12.668,-3.332,10MHz,195,-14.92,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:14.333,-1.667,10MHz,195,-21.46,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:14.426,-1.574,10MHz,195,-18.13,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:16.071,0.071,10MHz,195,-20.26,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:18.934,2.934,10MHz,195,-20.85,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:21.004,5.004,10MHz,195,-18.21,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:24.584,8.584,10MHz,195,-20.88,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:16,2024-07-07 20:23:25.773,9.773,10MHz,195,-18.3,0.02644668664036889
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:21.004,-7.996,10MHz,195,-18.21,0.026060072401169986
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:29,2024-07-07 20:23:24.584,-4.416,10MHz,195,-20.88,0.026060072401169986
